Año;Departamento;CUI;Proyecto;PIA;PIM;Certificación;CompromisoAnual;AtencióndeCompromisoMensual;Devengado;Girado
2024;ANCASH;2576978;2576978: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA MUNICIPALIDAD DISTRITAL DE NEPEÑA DISTRITO DE NEPEÑA DE LA PROVINCIA DE SANTA DEL DEPARTAMENTO DE ANCASH;0.00;250042.00;250040.00;250040.00;248221.00;236221.00;233522.00
2024;ANCASH;2577321;2577321: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL AMBITO DEL DISTRITO DE PAUCAS DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;197395.00;197395.00;158095.00;158095.00;140295.00;138795.00
2024;ANCASH;2578167;2578167: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA MUNICIPALIDAD DISTRITAL DE HUACCHIS DEL DISTRITO DE HUACCHIS DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;41171.00;41171.00;27405.00;27405.00;27405.00;27405.00
2024;ANCASH;2585545;2585545: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA LOCALIDAD DE CASMA DISTRITO DE CASMA DE LA PROVINCIA DE CASMA DEL DEPARTAMENTO DE ANCASH;0.00;408754.00;404754.00;404754.00;404754.00;398521.00;398521.00
2024;ANCASH;2585626;2585626: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL AMBITO DEL DISTRITO DE PAMPAROMAS DE LA PROVINCIA DE HUAYLAS DEL DEPARTAMENTO DE ANCASH;0.00;263168.00;263167.00;135498.00;135498.00;135498.00;134558.00
2024;ANCASH;2587210;2587210: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN AMBITO DEL DISTRITO DE SAN PEDRO DE CHANA DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;140465.00;140465.00;81577.00;81577.00;81577.00;81577.00
2024;ANCASH;2587245;2587245: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN COCHABAMBA, DISTRITO DE COCHABAMBA DE LA PROVINCIA DE HUARAZ DEL DEPARTAMENTO DE ANCASH;0.00;256764.00;256764.00;231878.00;147278.00;91498.00;91498.00
2024;ANCASH;2588239;2588239: CREACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL PUESTO DE AUXILIO RAPIDO DEL DISTRITO DE HUANTAR DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;133170.00;133170.00;133170.00;133170.00;123477.00;123477.00
2024;ANCASH;2594945;2594945: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LOS DIFERENTES SECTORES DEL DISTRITO DE UCO DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;550023.00;550023.00;105348.00;105348.00;19300.00;6000.00
2024;ANCASH;2597477;2597477: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA ZONA RURAL Y URBANA DEL DISTRITO DE CULEBRAS DE LA PROVINCIA DE HUARMEY DEL DEPARTAMENTO DE ANCASH;0.00;225267.00;225266.00;33000.00;33000.00;22000.00;22000.00
2024;ANCASH;2597603;2597603: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA LOCALIDAD DE ACOCHACA DISTRITO DE ACOCHACA DE LA PROVINCIA DE ASUNCION DEL DEPARTAMENTO DE ANCASH;0.00;260123.00;152652.00;152652.00;126590.00;86620.00;62615.00
2024;ANCASH;2597738;2597738: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN ACAS DISTRITO DE ACAS DE LA PROVINCIA DE OCROS DEL DEPARTAMENTO DE ANCASH;0.00;194976.00;194964.00;168603.00;168603.00;168209.00;167815.00
2024;ANCASH;2598396;2598396: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA LOCALIDAD DE CAJACAY DISTRITO DE CAJACAY DE LA PROVINCIA DE BOLOGNESI DEL DEPARTAMENTO DE ANCASH;0.00;14344.00;5400.00;5400.00;5400.00;5400.00;5400.00
2024;ANCASH;2599958;2599958: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN BUENAVISTA ALTA - DISTRITO DE BUENA VISTA ALTA DE LA PROVINCIA DE CASMA DEL DEPARTAMENTO DE ANCASH;0.00;414173.00;414172.00;149210.00;149210.00;149210.00;149210.00
2024;ANCASH;2609313;2609313: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL, DISTRITO DE MARCARA DE LA PROVINCIA DE CARHUAZ DEL DEPARTAMENTO DE ANCASH;0.00;302628.00;302628.00;219950.00;219950.00;210200.00;210200.00
2024;ANCASH;2611162;2611162: CREACION DEL SERVICIO DE PROVISION DE AGUA PARA RIEGO EN LA PARTE BAJA DEL CASERIO DE CONTAN DE CENTRO POBLADO CONTAN DISTRITO DE ANRA DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;40000.00;0.00;0.00;0.00;0.00;0.00
2024;ANCASH;2611681;2611681: ADQUISICION DE CAMIONETA EN LA MUNICIPALIDAD DISTRITAL DE BUENA VISTA ALTA DISTRITO DE BUENA VISTA ALTA, PROVINCIA CASMA, DEPARTAMENTO ANCASH;0.00;3000.00;3000.00;3000.00;3000.00;3000.00;3000.00
2024;ANCASH;2615086;2615086: AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL AREA URBANA DEL DISTRITO DE TICAPAMPA DE LA PROVINCIA DE RECUAY DEL DEPARTAMENTO DE ANCASH;0.00;54989.00;54988.00;52615.00;52615.00;52615.00;52523.00
2024;ANCASH;2616523;2616523: CREACION DEL SERVICIO POLICIAL OPERATIVO BASICO EN PNP COMISARIA DISTRITAL DE QUICHES DISTRITO DE QUICHES DE LA PROVINCIA DE SIHUAS DEL DEPARTAMENTO DE ANCASH;0.00;25000.00;25000.00;25000.00;25000.00;25000.00;25000.00
2024;ANCASH;2626394;2626394: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA MUNICIPALIDAD DISTRITAL DE RAPAYAN DEL DISTRITO DE RAPAYAN DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;40589.00;40588.00;0.00;0.00;0.00;0.00
2024;ANCASH;2628958;2628958: CREACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN MATO DEL DISTRITO DE MATO DE LA PROVINCIA DE HUAYLAS DEL DEPARTAMENTO DE ANCASH;0.00;51000.00;51000.00;51000.00;51000.00;51000.00;51000.00
2024;ANCASH;2631261;2631261: AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN SERVICIOS ESENCIALES EN LOS CENTROS POBLADOS Y ANEXOS DEL DISTRITO DE SAN PEDRO DE CHANA DE LA PROVINCIA DE HUARI DEL DEPARTAMENTO DE ANCASH;0.00;1324552.00;1324550.00;362932.00;355432.00;227612.00;226845.00
2024;ANCASH;2631655;2631655: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA MUNICIPALIDAD PROVINCIAL DE CARLOS FERMIN FITZCARRALD EN EL DISTRITO DE SAN LUIS DE LA PROVINCIA DE CARLOS FERMIN FITZCARRALD DEL DEPARTAMENTO DE ANCASH;0.00;480336.00;44088.00;20088.00;20088.00;20088.00;20088.00
2024;ANCASH;2634853;"2634853: ADQUISICION DE VEHICULO, MOTOCICLETA, EQUIPO DE VIDEO VIGILANCIA Y RADIO PORTATIL; ADEMAS DE OTROS ACTIVOS EN EL(LA) SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE PUEBLO LIBRE, PROVINCIA HUAYLAS, DEPARTAMENTO ANCASH";0.00;521913.00;18000.00;18000.00;18000.00;0.00;0.00
2024;ANCASH;2635275;"2635275: ADQUISICION DE SISTEMA DE SEGURIDAD Y VIGILANCIA, MOTOCICLETA Y EQUIPO TACTICO DE SEGURIDAD PERSONAL; EN EL(LA) SERVICIO DE SEGURIDAD CIUDADANA LOCAL DE LA MUNICIPALIDAD PROVINCIAL DE ASUNCION, DISTRITO DE CHACAS, PROVINCIA ASUNCION, DEPARTAMENTO ANCASH";0.00;7000.00;0.00;0.00;0.00;0.00;0.00
2024;ANCASH;2635879;"2635879: ADQUISICION DE EQUIPO DE CENTRO DE CONTROL Y MONITOREO; EN EL(LA) UNIDAD DE SEGURIDAD CIUDADANA DE LA MUNICIPALIDAD PROVINCIAL DE RECUAY DISTRITO DE RECUAY, PROVINCIA RECUAY, DEPARTAMENTO ANCASH";0.00;12500.00;12500.00;0.00;0.00;0.00;0.00
2024;ANCASH;2640874;2640874: CREACION SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LOCALIDAD DE CHIQUIAN DISTRITO DE CHIQUIAN DE LA PROVINCIA DE BOLOGNESI DEL DEPARTAMENTO DE ANCASH;0.00;147000.00;115197.00;40553.00;33953.00;12000.00;12000.00
2024;ANCASH;3000355;3000355: PATRULLAJE POR SECTOR;35915147.00;38010417.00;23637591.00;19459898.00;16882342.00;15200319.00;14669882.00
2024;ANCASH;3000356;3000356: COMUNIDAD ORGANIZADA A FAVOR DE LA SEGURIDAD CIUDADANA;4269705.00;5579497.00;3270565.00;2797365.00;2156740.00;1942774.00;1870295.00
2024;APURIMAC;2336918;2336918: CREACION SERVICIO DE SEGURIDAD CIUDADANA EN LOS 12 CENTRO POBLADOS Y LA LOCALIDAD DE HAQUIRA DEL DISTRITO DE HAQUIRA, PROVINCIA DE COTABAMBAS - APURIMAC;569428.00;180.00;0.00;0.00;0.00;0.00;0.00
2024;APURIMAC;2354049;2354049: MEJORAMIENTO Y AMPLIACION SERVICIO DE SEGURIDAD CIUDADANA AMBITO DEL DISTRITO DE CHALHUANCA - PROVINCIA DE AYMARAES - DEPARTAMENTO DE APURIMAC;2997537.00;321559.00;0.00;0.00;0.00;0.00;0.00
2024;APURIMAC;2381287;2381287: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD VECINAL Y COMUNAL EN EL DISTRITO DE CHALLHUAHUACHO - COTABAMBAS - APURIMAC;0.00;92048.00;92010.00;92010.00;92010.00;92010.00;92010.00
2024;APURIMAC;2435009;2435009: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA, DISTRITO DE HUACCANA - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;0.00;219071.00;200511.00;200511.00;200511.00;200511.00;200511.00
2024;APURIMAC;2440105;2440105: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE URANMARCA - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;392579.00;206.00;0.00;0.00;0.00;0.00;0.00
2024;APURIMAC;2466871;"2466871: REMODELACION DE CENTRO DE SERVICIO DE SEGURIDAD; EN EL(LA) CIUDADANA EN LA LOCALIDAD CHUQUIBAMBILLA, DISTRITO DE CHUQUIBAMBILLA, PROVINCIA GRAU, DEPARTAMENTO APURIMAC";0.00;2500.00;0.00;0.00;0.00;0.00;0.00
2024;APURIMAC;2472573;2472573: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE COYLLURQUI - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC;0.00;399316.00;151829.00;151829.00;151829.00;151829.00;146178.00
2024;APURIMAC;2488046;2488046: MEJORAMIENTO Y AMPLIACION DE LA PRESTACION DE LOS SERVICIOS DE SEGURIDAD CIUDADANA EN EL DISTRITO DE COTABAMBAS - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC;0.00;9717.00;0.00;0.00;0.00;0.00;0.00
2024;APURIMAC;2488274;2488274: CREACION DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE PACUCHA - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;444617.00;993528.00;941666.00;521696.00;521696.00;269979.00;261363.00
2024;APURIMAC;2533102;2533102: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE KAQUIABAMBA - PROVINCIA DE ANDAHUAYLAS - DEPARTAMENTO DE APURIMAC;0.00;478486.00;0.00;0.00;0.00;0.00;0.00
2024;APURIMAC;2562810;2562810: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE MARA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC;624849.00;500000.00;374368.00;160035.00;160035.00;127803.00;127803.00
2024;APURIMAC;2572423;2572423: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL AMBITO URBANO Y RURAL DEL DISTRITO DE COTABAMBAS - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC;507812.00;507812.00;427902.00;342017.00;342017.00;342017.00;337543.00
2024;APURIMAC;2594566;"2594566: ADQUISICION DE SISTEMA DE VIDEO VIGILANCIA; EN EL(LA) DIVISION DE SEGURIDAD CIUDADANA Y POLICIA MUNICIPAL DE LA MUNICIPALIDAD PROVINCIAL DE ANDAHUAYLAS DISTRITO DE ANDAHUAYLAS, PROVINCIA ANDAHUAYLAS, DEPARTAMENTO APURIMAC";762808.00;20000.00;20000.00;20000.00;20000.00;0.00;0.00
2024;APURIMAC;2595706;2595706: AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL AMBITO URBANA Y RURAL DEL DISTRITO DE CHUQUIBAMBILLA DE LA PROVINCIA DE GRAU DEL DEPARTAMENTO DE APURIMAC;216230.00;216230.00;142302.00;142302.00;142302.00;118722.00;114602.00
2024;APURIMAC;3000355;3000355: PATRULLAJE POR SECTOR;7552520.00;8419480.00;5110911.00;4565021.00;3323276.00;2623193.00;2474257.00
2024;APURIMAC;3000356;3000356: COMUNIDAD ORGANIZADA A FAVOR DE LA SEGURIDAD CIUDADANA;1014241.00;1131540.00;412442.00;345246.00;317024.00;268696.00;253600.00
2024;AREQUIPA;2000634;2000634: FORTALECIMIENTO INSTITUCIONAL;0.00;500.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2001621;2001621: ESTUDIOS DE PRE-INVERSION;0.00;99400.00;41875.00;41875.00;41875.00;41875.00;41875.00
2024;AREQUIPA;2017435;2017435: IMPLEMENTACION DEL SERVICIO DE SERENAZGO;184943.00;3831814.00;2501006.00;1439886.00;1266817.00;519615.00;503493.00
2024;AREQUIPA;2313918;2313918: MEJORAMIENTO DE LOS SERVICIOS DE SEGURIDAD CIUDADANA EN TIABAYA, DISTRITO DE TIABAYA - AREQUIPA - AREQUIPA;1000000.00;12368245.00;12368245.00;11118745.00;11118745.00;1338689.00;487755.00
2024;AREQUIPA;2428570;2428570: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA, DISTRITO DE SACHACA - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;0.00;13500.00;13500.00;13500.00;13500.00;3500.00;3500.00
2024;AREQUIPA;2430655;2430655: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE SAMUEL PASTOR - PROVINCIA DE CAMANA - DEPARTAMENTO DE AREQUIPA;0.00;978551.00;971543.00;452051.00;450051.00;206060.00;206060.00
2024;AREQUIPA;2469557;2469557: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE YURA - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;0.00;9130.00;9130.00;9130.00;9130.00;9130.00;9130.00
2024;AREQUIPA;2478855;2478855: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE JACOBO HUNTER - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;0.00;4164360.00;4164360.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2488512;2488512: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA, DISTRITO DE ISLAY - PROVINCIA DE ISLAY - DEPARTAMENTO DE AREQUIPA;1000000.00;919336.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2491473;2491473: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE CAYMA - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;0.00;2957113.00;2957112.00;2957112.00;2957112.00;0.00;0.00
2024;AREQUIPA;2493592;2493592: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA DISTRITO DE AREQUIPA - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;15128120.00;428500.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2499908;2499908: MEJORAMIENTO DE LOS SERVICIOS DE SEGURIDAD CIUDADANA EN EL DISTRITO DE MARISCAL CACERES - PROVINCIA DE CAMANA - DEPARTAMENTO DE AREQUIPA;200000.00;392116.00;207115.00;194564.00;194564.00;194564.00;194564.00
2024;AREQUIPA;2509771;2509771: AMPLIACION DEL SISTEMA INTEGRAL DE SEGURIDAD CIUDADANA, DE LA MUNICIPALIDAD DISTRITAL DE YANAHUARA DEL DISTRITO DE YANAHUARA - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;1403909.00;278577.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2517505;2517505: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL DEL DISTRITO DE BELLA UNION - PROVINCIA DE CARAVELI - DEPARTAMENTO DE AREQUIPA;0.00;92150.00;92150.00;52000.00;52000.00;52000.00;52000.00
2024;AREQUIPA;2522263;2522263: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE MARIANO MELGAR - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;4406699.00;0.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2522997;2522997: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE DEAN VALDIVIA - PROVINCIA DE ISLAY - DEPARTAMENTO DE AREQUIPA;500000.00;0.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2532276;2532276: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE CERRO COLORADO - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;0.00;265223.00;28745.00;5985.00;5985.00;598.00;598.00
2024;AREQUIPA;2534171;2534171: CREACION DEL CERCO PERIMETRICO EN EL PUESTO DE AUXILIO RAPIDO TOCOTA DEL DISTRITO DE HUANUHUANU - PROVINCIA DE CARAVELI - DEPARTAMENTO DE AREQUIPA;459790.00;0.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2539150;2539150: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE CHALA - PROVINCIA DE CARAVELI - DEPARTAMENTO DE AREQUIPA;0.00;1988583.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2545967;2545967: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA EN EL DISTRITO DE CHAPARRA - PROVINCIA DE CARAVELI - DEPARTAMENTO DE AREQUIPA;0.00;8000.00;5000.00;5000.00;5000.00;0.00;0.00
2024;AREQUIPA;2557931;2557931: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA MEDIANTE SISTEMA DE VIDEO VIGILANCIA Y COMUNICACIONES DEL DISTRITO DE APLAO - PROVINCIA DE CASTILLA - DEPARTAMENTO DE AREQUIPA;0.00;334050.00;333823.00;73918.00;73918.00;39390.00;39389.00
2024;AREQUIPA;2568312;2568312: MEJORAMIENTO DEL SERVICIO POLICIAL DE LA COMISARIA PNP ALTO SELVA ALEGRE, DEL DISTRITO DE ALTO SELVA ALEGRE - PROVINCIA DE AREQUIPA - DEPARTAMENTO DE AREQUIPA;0.00;176630.00;176630.00;127980.00;127980.00;0.00;0.00
2024;AREQUIPA;2569302;2569302: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA Y COMUNAL EN EL DISTRITO DE CAYARANI - PROVINCIA DE CONDESUYOS - DEPARTAMENTO DE AREQUIPA;600000.00;0.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2576371;2576371: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN LA LOCALIDAD DE RIO GRANDE, DISTRITO DE RIO GRANDE DE LA PROVINCIA DE CONDESUYOS DEL DEPARTAMENTO DE AREQUIPA;0.00;205200.00;205200.00;154736.00;128018.00;119443.00;119443.00
2024;AREQUIPA;2585696;2585696: MEJORAMIENTO DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN CAYLLOMA DISTRITO DE CAYLLOMA DE LA PROVINCIA DE CAYLLOMA DEL DEPARTAMENTO DE AREQUIPA;0.00;77606.00;0.00;0.00;0.00;0.00;0.00
2024;AREQUIPA;2587134;"2587134: ADQUISICION DE SISTEMA DE SEGURIDAD Y VIGILANCIA; PARA EL MEJORAMIENTO DE LAS CAPACIDADES DEL SERVICIO DE SEGURIDAD CIUDADANA DEL DISTRITO DE CHALA, PROVINCIA CARAVELI, DEPARTAMENTO AREQUIPA";3495173.00;1396084.00;292760.00;292760.00;292760.00;175010.00;160169.00
2024;AREQUIPA;2600985;2600985: MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE SEGURIDAD CIUDADANA LOCAL EN EL CENTRO POBLADO CABANACONDE DEL DISTRITO DE CABANACONDE DE LA PROVINCIA DE CAYLLOMA DEL DEPARTAMENTO DE AREQUIPA;0.00;148153.00;148153.00;108855.00;105015.00;78580.00;73610.00
2024;AREQUIPA;2604544;"2604544: ADQUISICION DE EQUIPO DE VIDEO VIGILANCIA, SISTEMA DE VIDEO VIGILANCIA, CAMIONETA Y MOTOCICLETA; EN EL(LA) SERVICIO DE SEGURIDAD CIUDADANA DE LA LOCALIDAD DE SANTA RITA DE SIGUAS DISTRITO DE SANTA RITA DE SIGUAS, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA";0.00;778222.00;778221.00;394545.00;394545.00;356637.00;347174.00
2024;AREQUIPA;2607002;"2607002: ADQUISICION DE EQUIPO DE VIDEO VIGILANCIA; EN EL(LA) EN SECTORES ESTRATEGICOS DEL DISTRITO DE MARIANO MELGAR, PROVINCIA AREQUIPA, DEPARTAMENTO AREQUIPA";0.00;10389.00;10389.00;4000.00;4000.00;4000.00;4000.00
